DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2020-09-11 07:18:15,10,293,0,73.529,95.696,146.5,0,0,0,3.795,17.058,71.102
2020-09-11 07:18:17,10,309,0,68.981,145.273,154.5,0,0,0,0.586,25.23,68.191
2020-09-11 07:18:19,10,306,0,57.866,75.595,153,0,0,0,0.49,12.588,57.281
2020-09-11 07:18:21,10,157,0,139.35,219.814,78.5,0,0,0,0.229,39.815,138.955
2020-09-11 07:18:23,10,369,0,52.195,92.01,184.5,0,0,0,0.431,14.439,51.797
2020-09-11 07:18:25,10,281,0,71.342,82.009,140.5,0,0,0,0.445,15.897,70.797
2020-09-11 07:18:27,10,339,0,58.684,72.792,169.5,0,0,0,0.316,13.684,58.357
2020-09-11 07:18:29,10,364,0,53.942,16.028,182,0,0,0,0.514,9.11,53.571
2020-09-11 07:18:31,10,358,0,52.285,25.057,179,0,0,0,0.321,8.637,51.866
2020-09-11 07:18:33,10,178,0,112.989,104.492,89,0,0,0,0.27,29.455,112.652
2020-09-11 07:18:35,10,136,0,145.993,55.798,68,0,0,0,0.301,32.294,145.75
2020-09-11 07:18:37,10,111,0,186.423,176.613,55.5,0,0,0,0.18,55.342,186.153
2020-09-11 07:18:39,10,186,0,103.054,41.194,93,0,0,0,0.242,21.651,102.715
2020-09-11 07:18:41,10,125,0,165.568,80.112,62.5,0,0,0,0.128,38.848,165.264
2020-09-11 07:18:43,10,252,0,80.06,68.578,126,0,0,0,0.27,16.159,79.75
2020-09-11 07:18:45,10,382,0,50.487,65.475,191,0,0,0,0.246,11.173,50.141
2020-09-11 07:18:47,10,278,0,70.007,83.494,139,0,0,0,0.223,16.36,69.719
2020-09-11 07:18:49,10,163,0,123.331,202.948,81.5,0,0,0,0.129,44.362,123.031
2020-09-11 07:18:51,10,170,0,120.571,94.771,85,0,0,0,0.124,31.159,120.265
2020-09-11 07:18:53,10,359,0,55.786,68.651,179.5,0,0,0,0.145,12.967,55.504
2020-09-11 07:18:55,10,359,0,51.864,68.771,179.5,0,0,0,0.281,11.131,51.585
2020-09-11 07:18:57,10,371,0,56.555,112.613,185.5,0,0,0,0.208,17.973,56.27
2020-09-11 07:18:59,10,209,0,91.153,194.431,104.5,0,0,0,0.321,26.44,90.847
2020-09-11 07:19:01,10,107,0,184.215,149.776,53.5,0,0,0,0.15,57.131,183.944
2020-09-11 07:19:03,10,114,0,177.596,105.227,57,0,0,0,0.123,47.096,177.36
2020-09-11 07:19:05,10,281,0,73.043,102.531,140.5,0,0,0,0.278,18.278,72.772
2020-09-11 07:19:07,10,408,0,47.61,61.52,204,0,0,0,0.272,10.51,47.284
